,1st,2nd,3rd,Events,Name,Average Score,Rounds,Total Adjustment,Total Strokes,Average Drive,Driving Percentage,Fairways Hit,Possible Fairways,Greens Percentage,SG: Tee-to-Green,SG: Total,SG: Putting,Scrambling %
0,1.0,2.0,1.0,15.0,Jon Rahm,69.767,60.0,4.637,3693.0,305.1,59.11,438.0,741.0,69.5,1.774,1.985,0.211,63.92
1,3.0,0.0,0.0,15.0,Justin Thomas,69.681,52.0,15.664,3120.0,305.3,55.7,352.0,632.0,69.63,1.431,1.831,0.4,58.94
2,3.0,1.0,1.0,11.0,Dustin Johnson,69.743,43.0,-0.267,2511.0,312.1,55.82,283.0,507.0,72.53,2.025,2.27,0.245,62.36
3,1.0,2.0,0.0,17.0,Kevin Kisner,70.254,63.0,0.225,3934.0,286.4,68.84,539.0,783.0,67.46,1.392,1.848,0.456,63.11
4,1.0,1.0,2.0,14.0,Jordan Spieth,69.411,49.0,6.262,2909.0,291.6,58.38,345.0,591.0,70.9,1.389,1.74,0.351,58.64
5,0.0,0.0,1.0,19.0,Bud Cauley,70.531,62.0,6.78,4084.0,294.9,57.92,468.0,808.0,67.15,0.812,0.591,-0.22,57.14
6,0.0,0.0,0.0,17.0,Graham DeLaet,70.435,57.0,4.063,3729.0,300.2,62.87,464.0,738.0,68.97,0.451,0.918,0.466,56.42
7,1.0,1.0,1.0,12.0,Rickie Fowler,69.419,42.0,-18.257,2795.0,298.5,66.79,374.0,560.0,68.33,1.33,2.058,0.728,63.6
8,1.0,0.0,1.0,20.0,Brian Harman,70.522,68.0,19.408,4494.0,288.2,61.86,553.0,894.0,64.24,0.238,0.863,0.626,62.62
9,1.0,1.0,1.0,18.0,Pat Perez,70.297,65.0,12.409,4346.0,291.6,61.31,534.0,871.0,67.29,0.738,1.02,0.283,62.47
10,1.0,1.0,0.0,16.0,Daniel Berger,70.336,55.0,7.792,3509.0,296.7,60.83,427.0,702.0,67.33,0.756,1.149,0.392,63.61
11,1.0,0.0,0.0,18.0,Wesley Bryan,70.716,61.0,22.834,4008.0,281.9,56.93,452.0,794.0,62.57,0.368,0.71,0.342,64.06
12,0.0,0.0,1.0,15.0,Paul Casey,70.027,58.0,-4.537,3786.0,295.0,63.36,479.0,756.0,70.68,1.291,1.24,-0.051,65.96
13,0.0,0.0,1.0,19.0,Tony Finau,70.332,66.0,18.274,4483.0,306.0,58.32,522.0,895.0,70.75,1.529,1.196,-0.333,58.75
14,0.0,0.0,1.0,17.0,Lucas Glover,70.236,61.0,0.701,4073.0,296.1,66.34,536.0,808.0,70.98,1.144,1.069,-0.075,59.41
15,1.0,1.0,0.0,17.0,Adam Hadwin,70.388,64.0,6.836,4498.0,292.0,62.29,555.0,891.0,66.32,0.638,0.997,0.359,65.72
16,1.0,1.0,0.0,19.0,Billy Horschel,70.341,60.0,1.784,4078.0,297.4,60.49,490.0,810.0,70.59,0.376,0.593,0.217,59.93
17,0.0,1.0,0.0,15.0,Charles Howell III,70.167,58.0,30.993,3758.0,296.9,55.45,417.0,752.0,69.55,0.766,0.901,0.135,65.88
18,0.0,2.0,0.0,16.0,Brooks Koepka,70.516,56.0,-19.242,3404.0,307.6,54.61,367.0,672.0,63.77,0.397,0.841,0.444,54.95
19,0.0,0.0,0.0,17.0,Matt Kuchar,70.202,59.0,-15.664,3947.0,283.5,64.83,505.0,779.0,67.36,0.962,1.049,0.087,65.35
20,0.0,0.0,0.0,16.0,Martin Laird,70.689,56.0,9.572,3949.0,294.7,64.15,501.0,781.0,66.27,0.685,0.839,0.154,61.47
21,2.0,2.0,0.0,14.0,Hideki Matsuyama,69.966,53.0,8.451,3210.0,301.8,61.27,397.0,648.0,70.41,1.492,1.056,-0.436,63.27
22,0.0,0.0,0.0,15.0,Phil Mickelson,70.185,61.0,-8.662,3939.0,294.3,53.64,420.0,783.0,64.29,0.927,1.304,0.377,60.0
